наименование,зарплата,опыт,требуемые навыки,ссылка
Швея-портной,"{'from': 75000, 'to': 85000}",Более 6 лет,"Требования: Опыт работы с различными тканями и ассортиментом одежды, ответственность, аккуратность.",https://hh.ru/vacancy/79783315
Швея на прямострочку,"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Опыт работы на промышленном оборудовании. Опыт работы с трикотажным полотном. Ответственность, аккуратность, чистоплотность, скорость.",https://hh.ru/vacancy/79365911
Швея,"{'from': 100000, 'to': None}",Нет опыта,Опыт работы от 1 года. Пунктуальность. Аккуратность в работе.,https://hh.ru/vacancy/79591359
Швея,"{'from': 100000, 'to': 150000}",Нет опыта,Знание языка не обязательно.,https://hh.ru/vacancy/80044104
Швея на нижнее белье пооперационка,"{'from': 60000, 'to': 120000}",Нет опыта,Ответственность. - Качественные ровные строчки. - Аккуратность. - Внимательность. - Пунктуальность. - Умение работать с разным оборудованием (научим). - Скорость шитья (у нас большие объемы). ,https://hh.ru/vacancy/79748534
Швея-портной,"{'from': 100000, 'to': None}",От 1 года до 3 лет,"Умение работать с различными видами материалов. Умение работать на разных видах машинок. Желание обучаться новому и развиваться. Ответственность, внимательность, пунктуальность...",https://hh.ru/vacancy/80191484
Швея (на дому),"{'from': 40000, 'to': None}",От 3 до 6 лет,"Наличие своего промышленного оборудования: оверлок, прямострочка - обязательно, распошивальная машина - преимущественно. Скорость и качество работы.",https://hh.ru/vacancy/79934297
Швея-портной,,От 3 до 6 лет,"Умение работать с разными видами ткани,в том числе шелк, шифон,купро,хлопок, лен. Знание и умение работать на промышленном...",https://hh.ru/vacancy/79159884
Портная/Портной-Швея,"{'from': 80000, 'to': 140000}",От 1 года до 3 лет,"Ответственность, аккуратность, пунктуальность, трудолюбие. Опыт работы на промышленном оборудовании. Опыт работы на производстве будет вашим преимуществом.",https://hh.ru/vacancy/80121253
Швея-портной,"{'from': 80000, 'to': 130000}",От 3 до 6 лет,Умение работать со всеми видами тканей. Высокая скорость без потери качества.,https://hh.ru/vacancy/80210507
Швея,"{'from': 70000, 'to': None}",От 3 до 6 лет,Опыт работы на швейном производстве. Качественный и аккуратный пошив изделий. Желание и умение работать. Готовность шить современную трендовую женскую одежду.,https://hh.ru/vacancy/80161403
Швея,"{'from': 60000, 'to': 135000}",От 3 до 6 лет,"Опыт работы на производстве более 3-х лет. Аккуратность, точность, высокая скорость работы. Бесконфликтность и умение работать в команде. ",https://hh.ru/vacancy/79336544
Швея мотористка,"{'from': 60000, 'to': None}",От 3 до 6 лет,"Опыт работы на производственных машинках и оверлоке. Усидчивость, аккуратность, скорость, чистота рабочего места.",https://hh.ru/vacancy/79234507
Швея портной на швейное производство (в связи с расширением производства),"{'from': 120000, 'to': None}",От 1 года до 3 лет,"Профессиональное знание методов сборки и обработки швейных изделий. - Опыт работы с трикотажем и текстилем. - Скорость шитья. Навыки: - Ответственность, скорость пошива...",https://hh.ru/vacancy/79177758
Швея (ученик),"{'from': 40000, 'to': 60000}",Нет опыта,Ищем швей без опыта работы с желанием научиться шить на современном оборудовании. Наши преимущества:,https://hh.ru/vacancy/79277062
Швея портной,"{'from': None, 'to': 120000}",Нет опыта,Знание и умение работать на промышленном швейном оборудовании. Внимательность и добросовестность. Рассматриваются кандидаты с опытом и без опыта работы.,https://hh.ru/vacancy/79483635
Швея в цех по операциям,"{'from': 80000, 'to': 150000}",От 1 года до 3 лет,Швею для работы с трикотажем. Знание нескольких машин приветствуется. Скорость.,https://hh.ru/vacancy/79896662
Швея на производство,"{'from': 90000, 'to': 120000}",От 3 до 6 лет,"Качество и аккуратность в работе. Хорошие навыки работы на оверлоке, распошивальной машине, прямострочке. Опыт работы не менее 3х лет. ",https://hh.ru/vacancy/79681318
Швея,"{'from': 65000, 'to': 100000}",От 1 года до 3 лет,"Средними и легкими тканями. Знание и понимание работы промышленного швейного оборудования. Высокая скорость пошива. Работа на потоке. Качество, ответственность, аккуратность...",https://hh.ru/vacancy/79687414
Швея по ремонту одежды,"{'from': 60000, 'to': 60000}",От 1 года до 3 лет,"Трудолюбие, аккуратность, исполнительность, внимательность. Консультирование клиентов.",https://hh.ru/vacancy/79481587
Швея,"{'from': 100000, 'to': None}",От 1 года до 3 лет,"швеи с навыками работы на промышленных швейный машинах ( прямострочная, оверлок, распошивальная,петельная, поясная). Важно наличие опыта качественного пошива изделий партиями...",https://hh.ru/vacancy/80037100
Швея в швейное производство,"{'from': 100000, 'to': 180000}",От 1 года до 3 лет,Умение работать на промышленных машинах. Полный автомат. Дисциплинированность. Ответственность. Аккуратность.,https://hh.ru/vacancy/79915985
Швея-портной,"{'from': 150000, 'to': 200000}",От 1 года до 3 лет,Ищем человека с опытом работы с кожей (ремонт и пошив). Какие Ваши навыки нам необходимы: Вы умеете шить по коже...,https://hh.ru/vacancy/79014331
"Швея, подработка","{'from': None, 'to': 80000}",От 3 до 6 лет,"Знания и опыт работы на промышленных швейных машинах: прямострочка, оверлок, распошив - обязательно.",https://hh.ru/vacancy/80183565
Швея-портной,"{'from': 60000, 'to': 120000}",Нет опыта,"Прямые строчки, точность сборки, пошив изделия от начала до конца. Бережное отношение к качеству выпускаемой продукции. Внимательность к деталям, аккуратность...",https://hh.ru/vacancy/80030183
Швея-портной,"{'from': 80000, 'to': 150000}",Более 6 лет,Самое главное порядочность и адекватность!,https://hh.ru/vacancy/80197307
Швея-портной,"{'from': 80000, 'to': None}",От 1 года до 3 лет,Качественное исполнение и высокие навыки (одежда премиум сегмента). Требования: опыт работы от 2 лет.,https://hh.ru/vacancy/79684770
Швея,"{'from': 100000, 'to': 150000}",От 1 года до 3 лет,"Приглашается готовая бригада швей или швеи, которые могут и хотят работать в бригаде 5-8 человек. Опыт работы - от 3...",https://hh.ru/vacancy/79653923
